,Year ending March,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,Offence Subgroup Code,Offence Subgroup Name,Crime Severity,Severity Total Score
27357,2018,3825,MOE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,64,A212,Non-FV Serious assault,10,640
27362,2018,3825,MOE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,11,A732,Non-FV Threatening behaviour,7,77
27364,2018,3825,MOE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
27366,2018,3825,MOE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,11,A712,Non-FV Stalking,10,110
27368,2018,3825,MOE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,16,A89,Other dangerous or negligent acts endangering people,7,112
27369,2018,3825,MOE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,4,A83,Throw or discharge object endangering people,7,28
27371,2018,3825,MOE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,4,A81,Dangerous driving,7,28
27395,2018,3825,MOE,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,2,D13,Explosives offences,6,12
27399,2018,3825,MOE,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,5,D24,Offensive language,3,15
27400,2018,3825,MOE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,6,D23,Offensive conduct,5,30
27401,2018,3825,MOE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,28,D22,Drunk and disorderly in public,4,112
27402,2018,3825,MOE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,10,D35,Improper movement on public or private space,4,40
27413,2018,3825,MOE SOUTH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27415,2018,3825,MOE SOUTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
27424,2018,3825,MOE SOUTH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
27427,2018,3825,MOONDARRA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
27429,2018,3825,MOONDARRA,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27430,2018,3825,MOONDARRA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
27433,2018,3825,NEWBOROUGH,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,13,A232,Non-FV Common assault,10,130
27435,2018,3825,NEWBOROUGH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,9,A212,Non-FV Serious assault,10,90
27438,2018,3825,NEWBOROUGH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
27440,2018,3825,NEWBOROUGH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,5,A712,Non-FV Stalking,10,50
27442,2018,3825,NEWBOROUGH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,A89,Other dangerous or negligent acts endangering people,7,21
27443,2018,3825,NEWBOROUGH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,2,A81,Dangerous driving,7,14
27467,2018,3825,NEWBOROUGH,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
27468,2018,3825,NEWBOROUGH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
27475,2018,3825,RAWSON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
27477,2018,3825,RAWSON,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27485,2018,3825,RAWSON,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
27495,2018,3825,THALLOO,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27505,2018,3825,WALHALLA,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
27511,2018,3825,WILLOW GROVE,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
27512,2018,3825,WILLOW GROVE,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
27517,2018,3825,YALLOURN NORTH,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
27519,2018,3825,YALLOURN NORTH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27522,2018,3825,YALLOURN NORTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
27523,2018,3825,YALLOURN NORTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
27541,2018,3825,YALLOURN NORTH,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
27560,2018,3831,NEERIM SOUTH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27597,2018,3835,THORPDALE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
27616,2018,3840,HAZELWOOD NORTH,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
27618,2018,3840,HAZELWOOD NORTH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27627,2018,3840,HAZELWOOD NORTH,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
27629,2018,3840,HAZELWOOD NORTH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
27633,2018,3840,HAZELWOOD SOUTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
27643,2018,3840,JEERALANG JUNCTION,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
27644,2018,3840,JEERALANG JUNCTION,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
27645,2018,3840,JEERALANG JUNCTION,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
27652,2018,3840,MARYVALE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
27656,2018,3840,MORWELL,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,77,A232,Non-FV Common assault,10,770
27658,2018,3840,MORWELL,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,106,A212,Non-FV Serious assault,10,1060
27663,2018,3840,MORWELL,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,32,A732,Non-FV Threatening behaviour,7,224
27665,2018,3840,MORWELL,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,9,A722,Non-FV Harassment and private nuisance,8,72
27667,2018,3840,MORWELL,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,6,A712,Non-FV Stalking,10,60
27669,2018,3840,MORWELL,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,26,A89,Other dangerous or negligent acts endangering people,7,182
27670,2018,3840,MORWELL,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,10,A83,Throw or discharge object endangering people,7,70
27671,2018,3840,MORWELL,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,7,A81,Dangerous driving,7,49
27695,2018,3840,MORWELL,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
27698,2018,3840,MORWELL,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,D26,Disorderly conduct,5,5
27700,2018,3840,MORWELL,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,3,D24,Offensive language,3,9
27701,2018,3840,MORWELL,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,23,D23,Offensive conduct,5,115
27702,2018,3840,MORWELL,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,26,D22,Drunk and disorderly in public,4,104
27703,2018,3840,MORWELL,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2,D21,Riot and affray,6,12
27704,2018,3840,MORWELL,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
27705,2018,3840,MORWELL,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,24,D35,Improper movement on public or private space,4,96
27707,2018,3840,MORWELL,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,8,D32,Hoaxes,7,56
27708,2018,3840,MORWELL,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,D49,Other public security offences,7,7
27719,2018,3842,CHURCHILL,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,9,A232,Non-FV Common assault,10,90
27721,2018,3842,CHURCHILL,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,11,A212,Non-FV Serious assault,10,110
27725,2018,3842,CHURCHILL,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,7,A732,Non-FV Threatening behaviour,7,49
27729,2018,3842,CHURCHILL,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,6,A89,Other dangerous or negligent acts endangering people,7,42
27730,2018,3842,CHURCHILL,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
27752,2018,3842,CHURCHILL,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
27753,2018,3842,CHURCHILL,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
27754,2018,3842,CHURCHILL,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
27764,2018,3844,CALLIGNEE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
27772,2018,3844,CARRAJUNG,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
27788,2018,3844,LOY YANG,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27791,2018,3844,TRARALGON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,58,A232,Non-FV Common assault,10,580
27793,2018,3844,TRARALGON,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,115,A212,Non-FV Serious assault,10,1150
27798,2018,3844,TRARALGON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,27,A732,Non-FV Threatening behaviour,7,189
27800,2018,3844,TRARALGON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,3,A722,Non-FV Harassment and private nuisance,8,24
27802,2018,3844,TRARALGON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,9,A712,Non-FV Stalking,10,90
27804,2018,3844,TRARALGON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,27,A89,Other dangerous or negligent acts endangering people,7,189
27805,2018,3844,TRARALGON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,16,A83,Throw or discharge object endangering people,7,112
27806,2018,3844,TRARALGON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,8,A81,Dangerous driving,7,56
27832,2018,3844,TRARALGON,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,2,D13,Explosives offences,6,12
27835,2018,3844,TRARALGON,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,3,D26,Disorderly conduct,5,15
27837,2018,3844,TRARALGON,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,4,D24,Offensive language,3,12
27838,2018,3844,TRARALGON,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,57,D23,Offensive conduct,5,285
27839,2018,3844,TRARALGON,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,116,D22,Drunk and disorderly in public,4,464
27840,2018,3844,TRARALGON,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,4,D21,Riot and affray,6,24
27841,2018,3844,TRARALGON,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,22,D35,Improper movement on public or private space,4,88
27842,2018,3844,TRARALGON,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,5,D32,Hoaxes,7,35
27870,2018,3844,TYERS,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
27871,2018,3844,TYERS,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
27872,2018,3844,TYERS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
27887,2018,3847,NAMBROK,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
27890,2018,3847,ROSEDALE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,4,A232,Non-FV Common assault,10,40
27892,2018,3847,ROSEDALE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
27895,2018,3847,ROSEDALE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3,A732,Non-FV Threatening behaviour,7,21
27897,2018,3847,ROSEDALE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
27912,2018,3847,ROSEDALE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
27913,2018,3847,ROSEDALE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
27914,2018,3847,ROSEDALE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
27922,2018,3850,SALE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,38,A232,Non-FV Common assault,10,380
27924,2018,3850,SALE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,34,A212,Non-FV Serious assault,10,340
27929,2018,3850,SALE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,6,A732,Non-FV Threatening behaviour,7,42
27932,2018,3850,SALE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,3,A712,Non-FV Stalking,10,30
27934,2018,3850,SALE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,9,A89,Other dangerous or negligent acts endangering people,7,63
27935,2018,3850,SALE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
27936,2018,3850,SALE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,3,A81,Dangerous driving,7,21
27960,2018,3850,SALE,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,4,D13,Explosives offences,6,24
27963,2018,3850,SALE,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,D26,Disorderly conduct,5,5
27965,2018,3850,SALE,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,7,D24,Offensive language,3,21
27966,2018,3850,SALE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,15,D23,Offensive conduct,5,75
27967,2018,3850,SALE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,48,D22,Drunk and disorderly in public,4,192
27968,2018,3850,SALE,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2,D21,Riot and affray,6,12
27969,2018,3850,SALE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,6,D35,Improper movement on public or private space,4,24
27970,2018,3850,SALE,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
27979,2018,3850,WURRUK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
27981,2018,3850,WURRUK,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,3,A212,Non-FV Serious assault,10,30
27984,2018,3850,WURRUK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
27998,2018,3850,WURRUK,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
28005,2018,3851,BUNDALAGUAH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
28010,2018,3851,COBAINS,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
28018,2018,3851,DUTSON DOWNS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
28020,2018,3851,FULHAM,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
28021,2018,3851,FULHAM,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
28051,2018,3851,LOCH SPORT,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
28053,2018,3851,LOCH SPORT,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
28056,2018,3851,LOCH SPORT,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
28057,2018,3851,LOCH SPORT,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
28068,2018,3851,LOCH SPORT,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
28069,2018,3851,LOCH SPORT,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
28073,2018,3851,LONGFORD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
28075,2018,3851,LONGFORD,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
28077,2018,3851,LONGFORD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
28078,2018,3851,LONGFORD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,3,A83,Throw or discharge object endangering people,7,21
28106,2018,3851,PARADISE BEACH,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
28113,2018,3851,SEASPRAY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
28114,2018,3851,SEASPRAY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
28127,2018,3851,THE HONEYSUCKLES,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
28132,2018,3851,THE HONEYSUCKLES,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
28135,2018,3854,GLENGARRY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
28150,2018,3854,GLENGARRY,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
28154,2018,3854,GLENGARRY NORTH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
28157,2018,3854,GLENGARRY WEST,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
28168,2018,3856,TOONGABBIE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
28180,2018,3858,GLENMAGGIE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
28181,2018,3858,GLENMAGGIE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
28182,2018,3858,GLENMAGGIE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
28188,2018,3858,GLENMAGGIE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
28191,2018,3858,HEYFIELD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,6,A232,Non-FV Common assault,10,60
28193,2018,3858,HEYFIELD,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,4,A212,Non-FV Serious assault,10,40
28195,2018,3858,HEYFIELD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
28196,2018,3858,HEYFIELD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
28197,2018,3858,HEYFIELD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
28215,2018,3858,HEYFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,3,D21,Riot and affray,6,18
28216,2018,3858,HEYFIELD,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
28222,2018,3858,LICOLA,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
28233,2018,3858,WINNINDOO,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
28238,2018,3859,NEWRY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
28240,2018,3859,NEWRY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
28259,2018,3860,BRIAGOLONG,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
28261,2018,3860,BRIAGOLONG,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
28263,2018,3860,BRIAGOLONG,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
28265,2018,3860,BRIAGOLONG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
28275,2018,3860,BRIAGOLONG,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
28284,2018,3860,COONGULLA,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
28285,2018,3860,COONGULLA,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
28286,2018,3860,MAFFRA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,8,A232,Non-FV Common assault,10,80
28288,2018,3860,MAFFRA,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,6,A212,Non-FV Serious assault,10,60
28291,2018,3860,MAFFRA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
28293,2018,3860,MAFFRA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
28295,2018,3860,MAFFRA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,5,A89,Other dangerous or negligent acts endangering people,7,35
28296,2018,3860,MAFFRA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
28320,2018,3860,MAFFRA,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,D26,Disorderly conduct,5,5
28322,2018,3860,MAFFRA,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
28323,2018,3860,MAFFRA,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2,D23,Offensive conduct,5,10
28324,2018,3860,MAFFRA,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
28325,2018,3860,MAFFRA,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
28331,2018,3860,RIVERSLEA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
28338,2018,3860,RIVERSLEA,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
